Episode,Shop Name,Geolocation,Reviewed at,Fries,Wings,Burger,Overall
1,Taste of Tennesse,"51.5272158,-0.0836419",2015/09/16,1.5,4.25,3.0,
2,Eden’s Cottage,"51.5643666,-0.1052414",2015/11/12,4.0,5.0,4.5,4.0
3,Dixy,"51.5570231,-0.1385524",2015/11/30,2.0,2.0,3.0,2.0
4,Dallas,"51.5036631,-0.1150505",2015/12/30,4.0,4.3,4.6,4.5
5,Chicken Valley,"51.5209469,-0.1713342",2016/09/24,2.9,1.9,1.2,1.5
6,Chick King,"51.6044864,-0.0680686",2016/12/08,3.0,3.5,3.5,3.5
7,Sam’s Chicken,"51.6139412,-0.1768542",2016/12/17,3.0,4.0,3.8,4.3
8,Miami Fried Chicken,"51.4157912,-0.0720943",2016/12/24,4.2,4.3,4.4,4.2
10,Morley’s,"51.3915036,-0.1183907",2017/01/07,4.1,4.5,4.2,4.3
11,FFC,"51.525241,-0.0337755",2017/01/14,2.4,2.0,1.5,2.0
12,Chicken Valley @ Sheperd’s Bush,"51.5058558,-0.227865",2017/01/21,3.2,2.3,1.7,1.7
13,KRFC,"51.5798756,-0.032137",2017/01/28,3.2,4.6,3.3,3.2
14,Chicken Run,"51.5170988,-0.0742012",2017/02/15,4.6,1.7,3.0,3.6
15,Texas ,"40.6786588,-73.9496737",2017/03/03,4.2,3.9,4.5,4.2
15,Kenney Fried Chicken,"40.6452968,-73.9489667",2017/03/03,3.2,1.9,1.5,2.0
15,Crown Fried Chicken,"40.6953788,-73.9494953",2017/03/03,4.7,2.2,3.2,2.4
16,Favorite,"51.5755785,-0.0724222",2017/03/25,2.3,3.1,0.7,2.2
17,Aladdin’s,"51.4729273,-0.3566073",2017/05/22,2.4,3.4,3.4,3.7
18,Chicken Spot,"31.6353851,-7.9925545",2017/10/10,3.8,3.2,3.4,3.5
19,Maxy’s,"51.4941938,-0.0919483",2017/12/27,3.7,4.0,3.7,
20,Pepe’s,"51.6114095,-0.1093095",2018/08/11,4.0,4.1,2.2,4.0
21,Big Pizza,"51.5274188,-0.1992235",2019/01/19,1.0,2.0,4.0,2.0
22,Chicken Spot @ Penge,"51.4133399,-0.0513314",,4.0,4.3,3.2,3.5
23,Morley’s @ Greenwich,"51.4197248,-0.0798604",,3.8,4.2,2.0,3.5
24,Supreme,"51.5277478,-0.1185706",2019/11/01,3.8,4.1,3.7,
25,Tom Bell’s,"51.40692,-0.017187",2020/04/11,2.6,3.8,2.3,3.9
26,Pizza and Chicken Palace,"51.4991756,-0.1130356",2020/08/22,2.5,3.6,2.0,3.5
27,Chicken King,"51.3812431,-0.2830255",,4.6,4.4,3.5,4.0
28,Chicken City,"51.4557571,-0.3099394",2020/10/03,3.2,4.6,4.2,3.7
29,Chicken Cottage,"51.4347359,-0.1614626",2020/10/24,2.1,2.8,3.1,
30,Sam’s,"51.5428196,-0.1991338",,2.1,4.5,4.1,4.0
31,Chester’s,"51.5529539,0.0734697",2020/12/04,4.1,1.9,2.0,3.5
32,Chicken Ranch,"51.5256366,-0.110408",,2.2,2.7,2.3,2.5
33,Borough Market,"51.5045229,-0.0922656",,2.7,2.0,2.0,
34,Chicken Diner,"51.5269591,-0.0968037",,3.3,4.1,4.0,3.8
35,Mississippi Fried Chicken,"51.5400492,-0.0967719",,4.2,4.4,3.8,4.0
36,Metro’s,"51.5544546,-0.0747333",,3.9,4.3,3.7,4.3
37,Royal Kitchen,"51.5142692,-0.0745517",,4.3,3.8,2.2,3.0
38,Western Fried Chicken,"51.5759244,-0.014219",,4.3,4.3,4.0,4.2
39,Dixy @ Barkingside,"51.5904094,0.0822321",,1.7,4.0,1.8,2.5
41,Chickenways,"51.5819915,-0.0996566",,4.1,3.5,3.3,4.3
42,Taste of Tennesse @ Priory Court,"51.5893576,-0.0296071",,3.8,3.7,4.1,4.0
43,Paradise Fish Bar,"51.5509532,-0.0859476",,3.4,3.7,0.7,2.5
44,Kasey’s Chicken,"51.5513806,-0.1105797",,3.0,3.3,4.2,3.5
45,Simply Chicken,"51.527081,-0.1368869",,4.2,3.9,2.9,3.5
46,Laagha’s,"51.3935447,-0.1146314",,2.0,1.8,1.9,2.0
47,Chicken Express,"51.5332583,-0.0800664",,3.5,3.6,3.8,3.7
48,Pasha’s Peri-peri,"51.5127556,-0.0396167",,3.7,4.5,2.7,4.0
49,Kansas Fried Chicken,"51.5877948,-0.1162256",,3.7,4.6,4.5,4.4
50,Tasty Chicken,"51.5578469,-0.0558928",,4.1,4.5,3.7,4.3
51,Chicken Excel,"51.5839649,-0.0730677",,3.7,3.9,3.6,3.5
52,Chicken Cottage @ Old Street,"51.5263771,-0.0878542",,4.0,2.99,3.8,3.7
53,Favorable,"51.4480906,0.013294",,3.8,4.1,3.8,4.5
54,KHF,"51.5215877,-0.0476699",2021/11/13,3.4,3.7,2.7,4.0
55,Chicken 2 Go,"51.4700171,-0.1719438",,2.7,3.2,4.3,2.6
56,Shadwell,"51.5343638,-0.3751114",2021/12/04,4.5,4.5,4.2,4.0
57,Tasty Chicken @ Bexley,"51.4822738,0.1458808",,3.4,4.2,2.6,3.0
58,Chicken Cottage @ Ladbroke Grove,"51.5181614,-0.2104333",,4.0,3.0,3.7,4.0
59,Chicken World,"51.5621115,-0.2808953",,2.8,4.2,3.4,3.8
60,Favorite @ Upminister,"51.5562771,0.251237",,4.2,3.7,3.5,3.5
61,Dawley Chicken,"51.5151903,-0.4377628",,4.7,4.8,4.1,4.5
62,Dallas @ South Wimbledon,"51.4156833,-0.1922972",2022/01/29,3.5,3.7,2.3,3.0
63,RIO Chicken,"51.5658601,-0.3514256",,4.1,4.4,2.2,4.2
64,Best Bite Chicken,"51.5602689,0.1478947",,4.3,4.2,3.8,4.0
65,Royal Fried Chicken,"51.3728938,-0.1683585",,4.5,4.2,2.1,4.0
66,Chicken Express @ Bruce Grove,"51.5952833,-0.0711649",,3.4,3.9,3.7,3.0
67,Perfect Fried Chicken,"51.474664,-0.0463751",,2.1,4.3,4.0,3.7
68,Chicken King of Camden,"51.5399209,-0.1422673",,2.7,4.2,3.9,3.8
69,Morley's @ New Addington,"51.3425088,-0.0164786",,1.3,4.6,4.1,3.8
70,Chicks,"51.584284,-0.0757602",,4.1,4.5,3.5,3.0
